codigo,registro_fuente,provincia,canton,zona_publica,anio_ensayo,elevacion_msnm,profundidad_sondeo_m,n60,capacidad_portante_kg_cm2,limite_liquido_pct,limite_plastico_pct,indice_plasticidad_pct,humedad_pct,profundidad_cimentacion_m,aashto,tipo_suelo,sucs,nivel_freatico,tipo_cimentacion,resistencia_n60,aptitud_referencial,privacidad,lon_wgs84,lat_wgs84
SPT-001,1,Loja,Loja,Zona técnica 03,2024,2120.23,8,18,1.1,31.3,13.5,17.8,19.32,2,A-6(9),Arcilla con bajo contenido de arena de alta plasticidad,CL,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2080103,-4.0096522
SPT-002,2,Loja,Loja,Zona técnica 03,2024,2120.23,8,18,1.73,35.6,16.7,18.8,21.93,2,A-6(15),Arcilla con bajo contenido de arena de alta plasticidad,CL,No,Zapata Continua o corrida,Baja,Media,pública_anonimizada,-79.2078996,-4.0096302
SPT-003,3,Loja,Loja,Zona técnica 03,2024,2120.23,12,16,1.15,41.3,18.4,22.9,17.67,2.5,A-7-6(19),Arcilla con arena CL de alta plasticidad color gris a café,CL,No,Losa de cimentación,Baja,Condicionada,pública_anonimizada,-79.2080459,-4.0098195
SPT-004,4,Loja,Loja,Zona técnica 03,2024,2120.23,13,18,1.88,39.3,17.9,21.4,20.67,2.5,A-6(14),Arcilla con arena y con bajo contenido de gravas CL de alta plasticidad,CL,No,Losa de cimentación,Baja,Media,pública_anonimizada,-79.2078741,-4.0097703
SPT-005,5,Loja,Loja,Zona técnica 05,2022,2019,6,6,1.47,25.67,22.27,3.41,10.94,1.5,A-4,Arena limosa,SM,Sí,Zapata aislada cuadrada,Muy baja,Revisión prioritaria,pública_anonimizada,-79.220302,-3.9509488
SPT-006,6,Loja,Loja,Zona técnica 03,2022,2219,6,25,2.68,22.36,12.87,9.49,6.67,1.25,A-1-a,Grava bien gradada con arena,GW,No,Zapata aislada cuadrada,Media,Alta,pública_anonimizada,-79.2157505,-4.0158189
SPT-007,7,Loja,Loja,Zona técnica 03,2022,2221,6,15,1.59,35.93,13.05,22.88,22.19,1.25,A-1-a,Grava bien gradada con arena,GW,No,Zapata aislada cuadrada,Baja,Media,pública_anonimizada,-79.2157687,-4.0157376
SPT-008,8,Loja,Loja,Zona técnica 02,2022,2207,6,15,1.44,57,36,21,23.27,1.8,A-7-5,Arcilla de alta plasticidad con limo,MH,Sí,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2134838,-4.0394781
SPT-009,9,Loja,Catamayo,Zona técnica 04,2022,1259,6,36,5.75,86.76,38.75,48.01,19.27,1.5,A-5,Limo elastico arenoso,MH,No,Zapata aislada cuadrada,Alta,Alta,pública_anonimizada,-79.3796939,-3.9684403
SPT-010,10,Loja,Loja,Zona técnica 04,2022,2200,3,52,3.09,27.15,19.37,7.78,9.68,1.8,A-6,Arcilla fina con arena,MH,No,Zapata aislada cuadrada,Muy alta,Alta,pública_anonimizada,-79.2139632,-4.005389
SPT-011,11,Loja,Loja,Zona técnica 04,2022,2195,4,52,1.66,57.2,30.33,26.87,20.52,1.8,A-6,Arcilla fina con arena,MH,No,Zapata aislada cuadrada,Muy alta,Media,pública_anonimizada,-79.2139272,-4.0054251
SPT-012,12,Loja,Loja,Zona técnica 03,2022,2200,6,39,2.74,43.29,27.72,15.58,17.88,1.5,A-1-b,Material de mejoramiento,GW,No,Zapata Continua o corrida,Alta,Alta,pública_anonimizada,-79.2164958,-4.0167429
SPT-013,13,Loja,Loja,Zona técnica 03,2022,2289,6,13,2.37,26.86,13.43,13.42,17.02,1.8,A-6,Arcilla areno limosa,CL,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2223615,-4.019161
SPT-014,14,Loja,Loja,Zona técnica 04,2022,2066,6,11,6.11,79.04,43.31,35.74,15.72,1.5,A-5,Limo de alta compresibilidad,MH,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2114143,-3.9724146
SPT-015,15,Loja,Calvas,Zona técnica 01,2023,1958,3,29,5.8,45.82,29.58,16.24,17.6,1.5,A-2-5,Limo elastico con clastos,MH,No,Zapata aislada cuadrada,Media,Alta,pública_anonimizada,-79.5545467,-4.3284442
SPT-016,16,Loja,Loja,Zona técnica 03,2023,2163,6,24,3.1,,,,13.35,1.7,A-4,Arena limo arcillosa,SM,No,Zapata aislada cuadrada,Media,Media,pública_anonimizada,-79.1961482,-4.0116524
SPT-017,17,Loja,Loja,Zona técnica 04,2023,2120,6,30,3.65,23.26,16.1,7.17,10.23,1.5,A-4,Arcilla arenosa limosa,CL-ML,No,Zapata aislada cuadrada,Alta,Alta,pública_anonimizada,-79.1969899,-3.9767144
SPT-018,18,Loja,Saraguro,Zona técnica 05,2025,2519,4,92,12.27,45.82,34.45,11.37,29.17,0.7,A-2-5,Arena limosa con fragmentos de toba riolitica,SM,No,Zapata Continua o corrida,Muy alta,Alta,pública_anonimizada,-79.2339602,-3.6225678
SPT-019,19,Loja,Loja,Zona técnica 04,2023,2100,5,10,1.65,42.47,26.85,15.62,15.36,1.2,A-6,Limo,ML,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2102936,-4.0035273
SPT-020,20,Loja,Loja,Zona técnica 03,2023,2150,6,6,1.35,33.81,21.44,12.37,16.14,1.5,A-6,Arcilla fina arenosa con grava,CL,Sí,Zapata aislada cuadrada,Muy baja,Revisión prioritaria,pública_anonimizada,-79.2148103,-4.0133754
SPT-021,21,Loja,Calvas,Zona técnica 01,2023,1979,6,10,2.14,67.39,32.24,35.15,36.35,1.5,A-7-5,Limo elastico con clastos,CH,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.5491602,-4.3231251
SPT-022,22,Loja,Loja,Zona técnica 05,2023,2009,6,10,1.1,35.01,24.45,10.56,14.63,3,A-1-b,Grava mal gradada con arena,GP,Sí,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2135134,-3.9592894
SPT-023,23,Loja,Loja,Zona técnica 05,2023,2009,6,38,2.22,33.31,25.76,7.55,11.03,3,A-1-b,Grava mal gradada con arena,GP,Sí,Zapata aislada cuadrada,Alta,Media,pública_anonimizada,-79.2136034,-3.9592987
SPT-024,24,Loja,Loja,Zona técnica 02,2023,2122,6,21,1.93,21.47,15.66,5.81,22.67,2,A-4,Arcilla arenosa limosa,CL-ML,No,Zapata aislada cuadrada,Media,Media,pública_anonimizada,-79.2045923,-4.0207497
SPT-025,25,Loja,Loja,Zona técnica 02,2023,2123,6,35,2.79,33.31,25.76,7.55,13.58,2,A-4,Limo arenoso,ML,No,Zapata aislada cuadrada,Alta,Alta,pública_anonimizada,-79.2045744,-4.0206863
SPT-026,26,Loja,Loja,Zona técnica 02,2023,2105,6,9,1.39,34.6,25.52,9.08,20.14,1.2,A-4,Limo arenosa con grava,ML,Sí,Zapata aislada cuadrada,Muy baja,Revisión prioritaria,pública_anonimizada,-79.2184092,-4.0229774
